#fname,lanme,Position,Number,College,DOB,Hand,Weight,Height,BodyType,Skin,Face,Dreads,Helmet,FaceMask,FaceShield,EyeBlack,MouthPiece,LeftGlove,RightGlove,LeftWrist,RightWrist,LeftElbow,RightElbow,Sleeves,LeftShoe,RightShoe,NeckRoll,Turtleneck
Star,Lotulelei,DT,98,Utah,12/20/1989,Right,315,6' 2",Extra Large,Skin 2,Face 13,No,Revolution,Type 22,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Kawann,Short,DT,99,Purdue,2/2/1989,Right,310,6' 3",Extra Large,Skin 4,Face 2,No,Standard,Type 6,Clear,No,No,Type 2,Type 2,Neoprene Large,Neoprene Large,None,None,None,Style 6,Style 6,None,None
A.J.,Klein,OLB,56,Iowa State,7/30/1991,Right,245,6' 1",Normal,Skin 1,Face 6,No,Standard,Type 10,None,Yes,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Nate,Chandler,T,78,UCLA,6/1/1989,Right,310,6' 4",Large,Skin 3,Face 14,No,Standard,Type 10,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Brandon,Williams,TE,86,Oregon,10/12/1987,Right,250,6' 4",Large,Skin 3,Face 13,No,Standard,Type 7,Clear,No,No,Team 3,Team 3,Double Black,Double Black,None,None,None,Style 3,Style 3,None,None
Colin,Cole,DT,91,Iowa,6/24/1980,Right,335,6' 2",Extra Large,Skin 6,Face 15,Yes,Standard,Type 6,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Melvin,White,CB,23,Louisiana-Lafayette,6/26/1990,Right,205,6' 1",Normal,Skin 3,Face 6,No,Revolution,Type 5,Clear,No,No,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 6,Style 6,None,None
Jonathan,Stewart,RB,28,Oregon,3/21/1987,Right,235,5' 10",Normal,Skin 4,Face 6,No,Standard,Type 7,None,Yes,No,Type 4,Type 4,None,None,High White,High White,None,Style 6,Style 6,None,None
Amini,Silatolu,G,66,Midwestern State,9/16/1988,Right,315,6' 4",Large,Skin 2,Face 5,No,Standard,Type 6,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Charles,Godfrey,CB,30,Iowa,11/15/1985,Right,210,5' 11",Normal,Skin 3,Face 3,Yes,Revolution,Type 19,Clear,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Joe,Webb,QB,14,Alabama-Birmingham,11/14/1986,Right,220,6' 4",Normal,Skin 3,Face 1,No,Standard,Type 2,None,No,No,None,None,Quarterback,Single White,None,None,None,Style 6,Style 6,None,None
Jerricho,Cotchery,WR,82,North Carolina State,6/16/1982,Right,200,6' 1",Normal,Skin 5,Face 4,No,Standard,Type 5,None,No,No,Team 4,Team 4,None,None,None,None,None,Style 6,Style 6,None,None
Jason,Avant,WR,81,Michigan,4/20/1983,Right,212,6 '0",Normal,Skin 5,Face 5,No,Standard,Type 5,None,No,No,Type 2,Type 2,None,None,None,None,None,Style 6,Style 6,None,None
Ed,Dickson,TE,84,Oregon,7/25/1987,Right,255,6' 4",Normal,Skin 3,Face 9,No,Revolution,Type 7,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Brian,Folkerts,C,64,None,1/30/1990,Right,305,6' 4",Large,Skin 1,Face 13,No,Revolution,Type 26,None,No,No,Type 2,Type 2,Double Black,Double Black,None,None,None,Style 5,Style 5,None,None
Jason,Williams,OLB,54,Western Illinois,4/23/1986,Right,245,6' 1",Normal,Skin 4,Face 3,No,Standard,Type 7,Clear,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,High Black,High Black,None,Style 2,Style 2,None,None
Antoine,Cason,CB,20,Arizona,7/9/1986,Right,195,6' 1",Skinny,Skin 4,Face 7,No,Standard,Type 5,None,No,Yes,Team 3,Team 3,Taped Small,Taped Small,High White,High White,None,Style 3,Style 3,None,None
Roman,Harper,SS,41,Alabama,12/11/1982,Right,200,6' 1",Normal,Skin 4,Face 3,No,Standard,Type 7,Clear,Yes,No,Team 4,Team 4,Neoprene Large,Neoprene Large,None,None,None,Style 3,Style 3,None,None
Thomas,DeCoud,FS,21,California,3/19/1985,Right,192,6' 2",Normal,Skin 2,Face 6,No,Standard,Type 5,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,White,Style 3,Style 3,None,None
Kelvin,Benjamin,WR,13,Florida State,2/5/1991,Right,235,6' 5",Normal,Skin 3,Face 3,Yes,Revolution,Type 5,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Kony,Ealy,DE,94,Missouri,12/21/1991,Right,275,6' 5",Large,Skin 5,Face 4,No,Revolution,Type 7,Clear,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Trai,Turner,G,70,Louisiana State,6/14/1993,Right,316,6' 3",Large,Skin 3,Face 5,No,Revolution,Type 19,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Tre,Boston,SS,33,North Carolina,6/25/1992,Right,205,6' 1",Normal,Skin 2,Face 6,Yes,Standard,Type 5,Clear,No,No,Team 4,Team 4,Neoprene Large,Neoprene Large,None,None,None,Style 6,Style 6,None,None
Bene,Benwikere,CB,25,San Jose State,9/3/1991,Right,192,6 '0",Normal,Skin 3,Face 7,No,Standard,Type 5,None,No,No,Team 3,Team 3,None,None,High Black,High Black,None,Style 3,Style 3,None,None
Fozzy,Whittaker,RB,43,Texas,2/2/1989,Right,202,5' 10",Normal,Skin 3,Face 4,No,Standard,Type 5,None,No,Yes,Team 3,Team 3,Neoprene Small,Neoprene Small,High White,High White,None,Style 4,Style 4,None,None
Fernando,Velasco,G,75,Georgia,2/22/1985,Right,312,6' 4",Large,Skin 4,Face 3,No,Revolution,Type 23,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Colin,Jones,FS,42,TCU,10/27/1987,Right,208,6 '0",Normal,Skin 1,Face 6,No,Revolution,Type 5,None,No,No,Type 2,Type 2,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Philly,Brown,WR,16,Ohio State,12/16/1991,Right,180,5' 11",Skinny,Skin 3,Face 3,No,Revolution,Type 5,None,No,Yes,Team 2,Team 2,None,None,High White,High White,None,Style 6,Style 6,None,None
Brenton,Bersin,WR,11,None,5/9/1990,Right,210,6' 3",Normal,Skin 1,Face 5,No,Standard,Type 3,Clear,No,No,Type 4,Type 4,Double Black,Double Black,None,None,None,Style 6,Style 6,None,None
Andrew,Norwell,G,68,Ohio State,10/25/1991,Right,310,6' 6",Large,Skin 1,Face 5,No,Standard,Type 6,None,Yes,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
David,Foucault,T,63,None,1/7/1989,Right,305,6' 8",Large,Skin 1,Face 7,No,Standard,Type 12,None,Yes,No,Type 4,Type 4,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Wes,Horton,DE,96,USC,1/18/1990,Right,264,6' 5",Large,Skin 2,Face 5,No,Standard,Type 5,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Taped,Taped,None,None
Ben,Jacobs,ILB,53,Fresno State,4/17/1988,Right,245,6' 4",Normal,Skin 1,Face 6,No,Standard,Type 7,None,No,No,Team 3,Team 3,Double Black,Double Black,None,None,None,Style 6,Style 6,None,None
Darrin,Reaves,RB,36,Alabama-Birmingham,4/17/1993,Right,220,5' 10",Normal,Skin 4,Face 4,Yes,Standard,Type 5,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
D.J.,Smith,ILB,52,Appalachian State,2/24/1989,Right,240,6 '0",Normal,Skin 3,Face 7,No,Standard,Type 7,Clear,No,No,Team 3,Team 3,Double Black,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Chris,Ogbonnaya,RB,26,Texas,5/5/1986,Right,225,6 '0",Normal,Skin 4,Face 3,No,Standard,Type 5,Clear,No,No,Team 2,Team 2,None,None,None,None,None,Style 3,Style 3,None,None
Stephen,Gostkowski,K,3,Memphis,1/28/1984,Right,215,6' 1",Normal,Skin 1,Face 2,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,None,Style 6,Style 6,None,None
Ryan,Wendell,G,62,Fresno State,3/4/1986,Right,300,6' 2",Large,Skin 1,Face 13,No,Standard,Type 24,None,No,No,Team 2,Team 2,None,None,Neoprene,Neoprene,None,Style 4,Style 4,None,None
Tom,Brady,QB,12,Michigan,8/3/1977,Right,225,6' 4",Normal,Skin 17,Face 7,No,Standard,Type 3,None,Yes,No,Team 1,None,Quarterback,None,None,High White,None,Style 3,Style 3,None,None
Dan,Connolly,G,63,SE Missouri State,9/2/1982,Right,305,6' 4",Extra Large,Skin 1,Face 2,No,Standard,Type 6,None,No,No,Type 4,Type 4,Taped Small,Taped Small,Neoprene,Neoprene,None,Style 3,Style 3,None,Whit
Devin,McCourty,FS,32,Rutgers,8/13/1987,Right,195,5' 10",Skinny,Skin 5,Face 6,No,Standard,Type 5,None,Yes,No,Team 3,Team 3,None,None,None,None,None,Style 6,Style 6,None,None
Rob,Ninkovich,DE,50,Purdue,2/1/1984,Right,260,6' 2",Normal,Skin 1,Face 13,No,Revolution,Type 6,None,Yes,No,Team 3,Team 3,Taped Small,Taped Small,High White,High White,None,Style 3,Style 3,None,None
Kyle,Arrington,CB,25,Hofstra,8/12/1986,Right,190,5' 10",Normal,Skin 5,Face 4,No,Standard,Type 2,None,No,No,Team 2,Team 2,None,None,None,None,None,Style 4,Style 4,None,None
Stevan,Ridley,RB,22,Louisiana State,1/27/1989,Right,220,5' 11",Normal,Skin 3,Face 6,No,Standard,Type 5,Dark,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Nate,Solder,T,77,Colorado,4/12/1988,Right,320,6' 8",Large,Skin 1,Face 3,No,Standard,Type 10,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Taped,Taped,None,None
Marcus,Cannon,T,61,TCU,5/6/1988,Right,335,6' 5",Extra Large,Skin 3,Face 9,No,Standard,Type 10,None,No,No,Team 3,Team 3,None,None,Neoprene,Neoprene,None,Style 6,Style 6,None,None
Chandler,Jones,DE,95,Syracuse,2/27/1990,Right,265,6' 5",Normal,Skin 4,Face 6,No,Standard,Type 10,None,No,No,Team 4,Team 4,Taped Small,Taped Small,High White,High White,None,Style 3,Style 3,None,None
Dont'a,Hightower,OLB,54,Alabama,3/12/1990,Right,270,6' 3",Large,Skin 4,Face 1,Yes,Standard,Type 19,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
Tavon,Wilson,FS,27,Illinois,3/19/1990,Right,215,6 '0",Normal,Skin 3,Face 5,Yes,Standard,Type 5,Clear,Yes,No,Team 2,Team 2,Double Team,Double Team,None,None,None,Style 3,Style 3,None,None
Michael,Hoomanawanui,TE,47,Illinois,7/4/1988,Right,260,6' 4",Normal,Skin 2,Face 3,No,Revolution,Type 7,None,Yes,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Alfonzo,Dennard,CB,37,Nebraska,9/9/1989,Right,200,5' 10",Normal,Skin 4,Face 5,No,Standard,Type 5,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
Danny,Amendola,WR,80,Texas Tech,11/2/1985,Right,195,5' 11",Normal,Skin 1,Face 10,No,Standard,Type 3,None,Yes,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Julian,Edelman,WR,11,Kent State,5/22/1986,Right,198,5' 10",Normal,Skin 1,Face 10,No,Standard,Type 5,None,Yes,No,Team 2,Team 2,Single White,Single White,None,None,None,Style 6,Style 6,None,None
Aaron,Dobson,WR,17,Marshall,7/23/1991,Right,200,6' 3",Normal,Skin 2,Face 14,No,Standard,Type 3,Clear,Yes,No,Team 2,Team 2,Single White,Single White,None,None,None,Style 3,Style 3,None,None
Jamie,Collins,OLB,91,Southern Mississippi,10/20/1989,Right,250,6' 3",Normal,Skin 4,Face 7,No,Revolution,Type 20,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,None
Logan,Ryan,CB,26,Rutgers,2/9/1991,Right,195,5' 11",Normal,Skin 3,Face 7,No,Revolution,Type 5,None,No,Yes,Team 2,Team 2,None,None,None,None,None,Style 6,Style 6,None,None
Duron,Harmon,SS,30,Rutgers,1/24/1991,Right,205,6 '0",Normal,Skin 4,Face 5,No,Standard,Type 5,None,No,Yes,Team 3,Team 3,None,None,None,None,None,Style 6,Style 6,None,None
Matthew,Slater,WR,18,UCLA,9/9/1985,Right,210,6 '0",Normal,Skin 4,Face 7,No,Revolution,Type 5,None,Yes,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,None
James,Develin,FB,46,Brown,7/23/1988,Right,251,6' 3",Normal,Skin 1,Face 5,No,Revolution,Type 7,None,Yes,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,Bulging,None
Chris,Jones,DT,94,Bowling Green,7/12/1990,Right,309,6' 1",Extra Large,Skin 1,Face 7,No,Revolution,Type 10,None,No,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Nate,Ebner,SS,43,Ohio State,12/14/1988,Right,210,6 '0",Normal,Skin 1,Face 6,No,Revolution,Type 5,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Ryan,Allen,P,6,Louisiana Tech,2/28/1990,Left,215,6' 2",Normal,Skin 1,Face 2,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,None,Style 3,Style 3,None,None
Shane,Vereen,RB,34,California,5/2/1989,Right,205,5' 10",Normal,Skin 3,Face 3,No,Standard,Type 5,None,No,No,Type 1,Type 1,None,None,High White,High White,None,Style 3,Style 3,None,None
Josh,Kline,G,67,Kent State,12/29/1989,Right,310,6' 3",Large,Skin 1,Face 3,No,Standard,Type 23,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 4,Style 4,None,None
Rob,Gronkowski,TE,87,Arizona,5/14/1989,Right,265,6' 6",Large,Skin 1,Face 10,No,Revolution,Type 7,None,Yes,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Sebastian,Vollmer,T,76,Houston,7/10/1984,Right,320,6' 8",Large,Skin 1,Face 10,No,Revolution,Type 23,None,No,No,Type 1,Type 1,Taped Small,Taped Small,Neoprene,Neoprene,None,Style 6,Style 6,None,None
Vince,Wilfork,DT,75,Miami (Fla.),11/4/1981,Right,325,6' 2",Extra Large,Skin 20,Face 9,No,Standard,Type 6,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 4,Style 4,None,None
Jerod,Mayo,ILB,51,Tennessee,2/23/1986,Right,250,6' 1",Normal,Skin 3,Face 11,No,Standard,Type 7,Clear,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Darrelle,Revis,CB,24,Pittsburgh,7/14/1985,Right,198,5' 11",Normal,Skin 4,Face 2,No,Revolution,Type 5,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,None
Patrick,Chung,SS,23,Oregon,8/19/1987,Right,210,5' 11",Normal,Skin 2,Face 4,No,Revolution,Type 5,None,No,Yes,Team 2,Team 2,None,None,None,None,None,Style 2,Style 2,None,None
Brandon,Bolden,RB,38,Ole Miss,1/26/1990,Right,220,5' 11",Normal,Skin 4,Face 1,Yes,Standard,Type 5,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Dominique,Easley,DE,74,Florida,2/24/1992,Right,285,6' 2",Large,Skin 4,Face 2,No,Revolution,Type 5,Clear,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Jimmy,Garoppolo,QB,10,Eastern Illinois,11/2/1991,Right,219,6' 2",Normal,Skin 1,Face 6,No,Standard,Type 2,None,No,No,None,None,Single White,Single White,None,None,None,Style 6,Style 6,None,None
Bryan,Stork,C,66,Florida State,11/15/1990,Right,306,6' 4",Large,Skin 1,Face 5,No,Standard,Type 6,None,No,Yes,Taped,Taped,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
James,White,RB,28,Wisconsin,2/3/1992,Right,206,5' 9",Normal,Skin 5,Face 6,No,Standard,Type 5,None,Yes,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Cameron,Fleming,T,71,Stanford,9/3/1992,Right,318,6' 6",Large,Skin 4,Face 5,No,Standard,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,Black,None,None,Style 4,Style 4,None,None
Tim,Wright,TE,81,Rutgers,4/7/1990,Right,220,6' 3",Normal,Skin 4,Face 2,No,Standard,Type 2,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Brandon,LaFell,WR,19,Louisiana State,11/4/1986,Right,210,6' 3",Normal,Skin 4,Face 1,No,Revolution,Type 3,None,Yes,No,Team 2,Team 2,Single White,Single White,None,None,None,Style 6,Style 6,None,Whit
Don,Jones,FS,29,Arkansas State,5/14/1990,Right,200,5' 11",Normal,Skin 3,Face 6,No,Standard,Type 5,None,No,No,Team 2,Team 2,None,None,High Team,High Team,None,Style 3,Style 3,None,None
Danny,Aiken,C,48,Virginia,8/28/1988,Right,255,6' 4",Normal,Skin 1,Face 6,No,Revolution,Type 7,None,No,No,None,None,None,None,None,None,Team,Style 3,Style 3,None,None
Chris,White,ILB,59,Mississippi State,1/15/1989,Right,238,6' 3",Normal,Skin 1,Face 5,No,Standard,Type 7,None,No,Yes,Team 1,Team 1,None,None,None,None,None,Style 6,Style 6,None,None
Jordan,Devey,G,65,Memphis,1/11/1986,Right,317,6' 6",Large,Skin 1,Face 4,No,Revolution,Type 6,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Taped,Taped,None,None
Zach,Moore,DE,90,None,9/5/1990,Right,275,6' 6",Large,Skin 4,Face 2,No,Standard,Type 7,Clear,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Malcolm,Butler,CB,21,None,3/2/1990,Right,190,5' 11",Normal,Skin 3,Face 6,No,Standard,Type 5,Clear,No,Yes,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Deontae,Skinner,OLB,55,Mississippi State,12/18/1990,Right,250,6' 2",Normal,Skin 4,Face 6,No,Revolution,Type 7,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,High Team,High Team,None,Style 1,Style 1,None,None
Casey,Walker,DT,98,Oklahoma,12/6/1989,Right,335,6' 1",Extra Large,Skin 4,Face 5,No,Standard,Type 10,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Ja'Gared,Davis,ILB,53,SMU,9/11/1990,Right,238,6 '0",Normal,Skin 4,Face 2,No,Revolution,Type 7,Clear,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Brandon,Browner,CB,39,Oregon State,8/2/1984,Right,221,6' 4",Normal,Skin 4,Face 14,No,Standard,Type 5,Clear,No,Yes,Team 1,Team 1,None,None,None,None,None,Style 3,Style 3,None,Whit
Brian,Tyms,WR,84,Florida A&M,2/21/1989,Right,204,6' 3",Normal,Skin 2,Face 6,No,Standard,Type 5,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Darren,McFadden,RB,20,Arkansas,8/27/1987,Right,218,6' 1",Normal,Skin 4,Face 7,No,Standard,Type 7,None,No,No,Team 3,Team 3,Taped Small,Taped Small,White Turf,White Turf,None,Taped,Taped,None,None
Sebastian,Janikowski,K,11,Florida State,3/2/1978,Left,258,6' 1",Large,Skin 17,Face 5,No,Revolution,Type 1,None,No,No,None,None,None,None,None,None,White,Style 2,Style 2,None,None
Khalif,Barnes,T,69,Washington,4/21/1982,Right,321,6' 6",Extra Large,Skin 3,Face 10,No,Standard,Type 6,None,No,No,Type 2,Type 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Stefen,Wisniewski,C,61,Penn State,3/22/1989,Right,307,6' 3",Large,Skin 1,Face 4,No,Revolution,Type 26,None,No,No,Type 3,Type 3,None,None,High Black,High Black,None,Style 1,Style 1,None,None
Marcel,Reece,FB,45,Washington,6/23/1985,Right,255,6' 1",Normal,Skin 5,Face 3,No,Standard,Type 7,None,No,No,Team 2,Team 2,Taped Small,Taped Small,High Black,High Black,None,Style 6,Style 6,None,Whit
Denarius,Moore,WR,17,Tennessee,12/9/1988,Right,190,6 '0",Skinny,Skin 4,Face 3,Yes,Standard,Type 3,Clear,No,No,Team 2,Team 2,None,None,High Black,High Black,None,Style 1,Style 1,None,None
Jon,Condo,C,59,Maryland,8/26/1981,Right,245,6' 3",Large,Skin 1,Face 2,No,Standard,Type 3,None,No,No,None,None,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Jamize,Olawale,FB,49,North Texas,4/17/1989,Right,240,6' 1",Normal,Skin 4,Face 13,No,Revolution,Type 3,None,Yes,No,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 3,Style 3,None,None
Chimdi,Chekwa,CB,35,Ohio State,9/7/1988,Right,190,6 '0",Skinny,Skin 6,Face 7,No,Standard,Type 5,None,Yes,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None
Pat,Sims,DT,90,Auburn,11/29/1985,Right,310,6' 2",Extra Large,Skin 5,Face 12,Yes,Revolution,Type 6,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Charles,Woodson,FS,24,Michigan,10/7/1976,Right,210,6' 1",Normal,Skin 5,Face 1,No,Revolution,Type 5,Clear,Yes,No,Team 2,Team 2,Neoprene Large,Neoprene Large,None,None,None,Style 3,Style 3,None,None
Menelik,Watson,T,71,Florida State,12/22/1988,Right,315,6' 5",Large,Skin 4,Face 11,No,Standard,Type 6,None,No,No,Team 1,Team 1,None,None,None,None,None,Style 6,Style 6,Bulging,None
Stacy,McGee,DT,92,Oklahoma,1/17/1990,Right,310,6' 3",Large,Skin 4,Face 1,No,Revolution,Type 22,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Sio,Moore,OLB,55,Connecticut,5/2/1990,Right,240,6' 1",Normal,Skin 4,Face 11,No,Standard,Type 7,None,No,No,Type 4,Type 4,Neoprene Small,Neoprene Small,High White,High White,None,Style 3,Style 3,None,Whit
Matt,McGloin,QB,14,Penn State,12/2/1989,Right,210,6' 1",Normal,Skin 1,Face 4,No,Revolution,Type 2,None,Yes,No,None,None,Quarterback,Single Black,None,None,None,Style 6,Style 6,None,None
Mychal,Rivera,TE,81,Tennessee,9/8/1990,Right,245,6' 3",Normal,Skin 2,Face 3,No,Standard,Type 7,None,Yes,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
Marquette,King,P,7,Fort Valley State (Ga.),10/26/1988,Right,192,6 '0",Normal,Skin 3,Face 2,No,Standard,Type 2,None,No,No,Type 2,None,Single Black,Single Black,None,None,None,Style 1,Style 1,None,None
Miles,Burris,OLB,56,San Diego State,6/27/1988,Right,240,6' 2",Normal,Skin 1,Face 5,No,Standard,Type 19,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,High Black,High Black,None,Style 6,Style 6,None,None
Usama,Young,SS,26,Kent State,5/8/1985,Right,200,6 '0",Normal,Skin 3,Face 6,Yes,Revolution,Type 7,None,No,No,Type 2,Type 2,None,None,None,None,None,Style 6,Style 6,None,None
Matt,Schaub,QB,8,Virginia,6/25/1981,Right,235,6' 5",Normal,Skin 17,Face 2,No,Revolution,Type 2,None,No,No,None,None,Single White,Single White,None,None,None,Style 3,Style 3,None,None
Maurice,Jones-Drew,RB,21,UCLA,3/23/1985,Right,210,5' 7",Normal,Skin 3,Face 6,No,Standard,Type 5,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
James,Jones,WR,89,San Jose State,3/31/1984,Right,208,6' 1",Normal,Skin 4,Face 1,No,Standard,Type 3,None,No,No,Team 3,Team 3,Elastic Large,Elastic Large,None,None,None,Style 3,Style 3,None,None
Kevin,Boothe,C,67,Cornell,7/5/1983,Right,320,6' 5",Extra Large,Skin 4,Face 9,No,Revolution,Type 26,None,No,No,Type 4,Type 4,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None
Donald,Penn,T,72,Utah State,4/27/1983,Right,340,6' 5",Large,Skin 2,Face 7,No,Revolution,Type 26,None,No,No,Type 2,Type 2,Taped Small,Taped Small,None,None,None,Style 4,Style 4,None,None
Austin,Howard,G,77,Northern Iowa,3/22/1987,Right,333,6' 7",Large,Skin 2,Face 6,No,Standard,Type 6,None,Yes,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None
Justin,Tuck,DE,91,Notre Dame,3/29/1983,Right,268,6' 5",Normal,Skin 4,Face 10,No,Revolution,Type 26,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,High White,High White,None,Style 3,Style 3,Roll,None
Antonio,Smith,DT,94,Oklahoma State,10/21/1981,Right,289,6' 4",Large,Skin 4,Face 13,No,Standard,Type 10,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None
C.J.,Wilson,DE,98,East Carolina,3/30/1987,Right,306,6' 3",Large,Skin 4,Face 4,No,Standard,Type 10,None,No,No,Type 4,Type 4,Single White,Single White,None,None,None,Style 1,Style 1,None,None
LaMarr,Woodley,DE,58,Michigan,11/3/1984,Right,265,6' 2",Normal,Skin 2,Face 14,No,Standard,Type 6,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None
Carlos,Rogers,CB,27,Auburn,7/2/1981,Right,192,6 '0",Skinny,Skin 3,Face 3,No,Standard,Type 5,None,No,No,Team 2,Team 2,None,None,None,None,None,Style 6,Style 6,None,None
Tarell,Brown,CB,23,Texas,1/6/1985,Right,193,5' 10",Skinny,Skin 3,Face 6,No,Standard,Type 5,Clear,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
David,Ausberry,TE,86,USC,9/25/1987,Right,258,6' 4",Large,Skin 4,Face 2,Yes,Revolution,Type 5,None,No,No,Team 2,Team 2,None,None,None,None,None,Style 1,Style 1,None,None
Khalil,Mack,OLB,52,Buffalo,9/12/1990,Right,248,6' 3",Normal,Skin 4,Face 4,No,Standard,Type 7,Clear,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None
Derek,Carr,QB,4,Fresno State,3/28/1991,Right,215,6' 2",Normal,Skin 1,Face 7,No,Revolution,Type 2,None,Yes,No,None,None,Quarterback,None,None,None,None,Style 6,Style 6,None,None
Gabe,Jackson,G,66,Mississippi State,7/12/1991,Right,339,6' 4",Extra Large,Skin 4,Face 5,No,Standard,Type 24,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None
