#fname,lname,Position,JerseyNumber,College,DOB,Hand,Weight,Height,BodyType,Skin,Face,Dreads,Helmet,FaceMask,Visor,EyeBlack,MouthPiece,LeftGlove,RightGlove,LeftWrist,RightWrist,LeftElbow,RightElbow,Sleeves,LeftShoe,RightShoe,NeckRoll,Turtleneck,
Jon,Ryan,P,9,None,11/26/1981,Right,217,"6 '0""",Normal,Skin 1,Face 5,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,Team,Style 3,Style 3,None,None,
Brandon,Mebane,DT,92,California,1/15/1985,Right,311,"6' 1""",Extra Large,Skin 5,Face 14,No,Revolution,Type 26,None,No,No,Type 2,Type 2,Taped Small,Taped Small,Neoprene,Neoprene,None,Style 3,Style 3,None,None,
Earl,Thomas III,FS,29,Texas,5/7/1989,Right,202,"5' 10""",Normal,Skin 3,Face 6,No,Revolution,Type 5,Clear,No,No,Team 3,Team 3,Double Black,Double Black,None,None,None,Style 3,Style 3,None,None,
Kam,Chancellor,SS,31,Virginia Tech,4/3/1988,Right,232,"6' 3""",Normal,Skin 5,Face 6,No,Revolution,Type 5,Dark,Yes,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None,
Malcolm,Smith,OLB,53,USC,7/5/1989,Right,226,"6 '0""",Normal,Skin 3,Face 10,No,Standard,Type 12,None,No,No,Team 4,Team 4,Single White,Single White,None,None,None,Style 3,Style 3,None,None,
Marshawn,Lynch,RB,24,California,4/22/1986,Right,215,"5' 11""",Normal,Skin 3,Face 7,Yes,Standard,Type 5,Dark,No,No,Type 2,Type 2,Single Black,Single Black,None,None,None,Style 3,Style 3,None,None,
Zach,Miller,TE,86,Arizona State,12/11/1985,Right,255,"6' 5""",Normal,Skin 1,Face 13,No,Standard,Type 3,None,No,No,Type 2,Type 2,Single Black,Single Black,High Black,High Black,None,Taped,Taped,None,None,
Max,Unger,C,60,Oregon,4/14/1986,Right,305,"6' 5""",Large,Skin 1,Face 7,No,Standard,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Richard,Sherman,CB,25,Stanford,3/30/1988,Right,195,"6' 3""",Skinny,Skin 3,Face 2,Yes,Standard,Type 5,None,No,Yes,Team 4,Team 4,None,None,High Black,High Black,None,Style 3,Style 3,None,White,
Clint,Gresham,C,49,TCU,8/24/1986,Right,240,"6' 3""",Normal,Skin 1,Face 5,No,Standard,Type 3,None,No,No,None,None,None,None,None,None,None,Style 2,Style 2,None,None,
Russell,Wilson,QB,3,Wisconsin,11/29/1988,Right,206,"5' 11""",Normal,Skin 2,Face 4,No,Revolution,Type 3,None,No,No,None,None,Single White,Single White,None,None,None,Style 2,Style 2,None,None,
Robert,Turbin,RB,22,Utah State,12/2/1989,Right,222,"5' 10""",Large,Skin 5,Face 4,No,Revolution,Type 5,None,No,No,Type 1,Type 1,Neoprene Small,Neoprene Small,Neoprene,Neoprene,None,Style 1,Style 1,None,None,
Bobby,Wagner,ILB,54,Utah State,6/27/1990,Right,241,"6 '0""",Normal,Skin 3,Face 1,No,Revolution,Type 19,Clear,Yes,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None,
J.R.,Sweezy,G,64,North Carolina State,4/8/1989,Right,298,"6' 5""",Large,Skin 1,Face 9,No,Revolution,Type 26,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None,
James,Carpenter,G,77,Alabama,3/22/1989,Right,321,"6' 5""",Extra Large,Skin 5,Face 10,Yes,Standard,Type 10,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None,
Cliff,Avril,DE,56,Purdue,4/8/1986,Right,260,"6' 3""",Large,Skin 4,Face 4,No,Standard,Type 10,None,No,No,Type 3,Type 3,Single White,Single White,None,None,None,Style 6,Style 6,None,None,
Michael,Bennett,DE,72,Texas A&M,11/13/1985,Right,274,"6' 4""",Large,Skin 4,Face 14,No,Revolution,Type 7,None,Yes,No,Type 4,Type 4,Single White,Single White,None,None,None,Style 6,Style 6,None,White,
Steven,Hauschka,K,4,North Carolina State,6/29/1985,Right,210,"6' 4""",Normal,Skin 1,Face 4,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,Team,Style 5,Style 5,None,None,
Tarvaris,Jackson,QB,7,None,4/21/1983,Right,225,"6' 2""",Normal,Skin 5,Face 4,No,Standard,Type 7,None,No,No,None,None,Single Black,Single Black,None,None,None,Style 6,Style 6,None,None,
Christine,Michael,RB,33,Texas A&M,11/9/1990,Right,221,"5' 10""",Normal,Skin 4,Face 6,No,Revolution,Type 5,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Luke,Willson,TE,82,Rice,1/15/1990,Right,252,"6' 5""",Normal,Skin 1,Face 10,No,Revolution,Type 7,None,No,No,Team 2,Team 2,None,None,None,None,None,Style 3,Style 3,None,None,
Jordan,Hill,DT,97,Penn State,2/8/1991,Right,303,"6' 1""",Large,Skin 2,Face 14,No,Revolution,Type 10,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 4,Style 4,None,None,
Tony,McDaniel,DT,99,Tennessee,1/20/1985,Right,305,"6' 7""",Large,Skin 4,Face 3,Yes,Revolution,Type 23,None,No,No,Type 3,Type 3,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,None,
Byron,Maxwell,CB,41,Clemson,2/23/1988,Right,207,"6' 1""",Normal,Skin 5,Face 6,No,Standard,Type 5,Clear,No,No,Team 1,Team 1,None,None,High White,High White,None,Style 6,Style 6,None,None,
Derrick,Coleman,FB,40,UCLA,10/18/1990,Right,233,"6 '0""",Normal,Skin 3,Face 6,No,Standard,Type 2,None,No,Yes,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None,
Jermaine,Kearse,WR,15,Washington,2/6/1990,Right,209,"6' 1""",Normal,Skin 4,Face 7,No,Standard,Type 5,Clear,No,No,Team 2,Team 2,None,None,None,None,None,Style 6,Style 6,None,None,
Alvin,Bailey,T,78,Arkansas,8/26/1991,Right,320,"6' 3""",Large,Skin 4,Face 10,No,Standard,Type 10,None,No,No,Team 1,Team 1,Taped Small,Taped Small,Neoprene,None,None,Style 1,Style 1,None,None,
Percy,Harvin,WR,11,Florida,5/28/1988,Right,184,"5' 11""",Normal,Skin 3,Face 6,No,Standard,Type 2,None,Yes,No,Team 2,Team 2,None,None,High Black,High Black,None,Style 6,Style 6,None,None,
Russell,Okung,T,76,Oklahoma State,10/7/1988,Right,310,"6' 5""",Large,Skin 5,Face 14,No,Revolution,Type 23,None,Yes,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Bruce,Irvin,OLB,51,West Virginia,11/1/1987,Right,248,"6' 3""",Normal,Skin 3,Face 14,Yes,Standard,Type 6,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None,
Jeron,Johnson,SS,23,Boise State,6/12/1988,Right,212,"5' 10""",Normal,Skin 4,Face 13,No,Standard,Type 5,Clear,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 4,Style 4,None,None,
Stephen,Schilling,G,63,Michigan,7/21/1988,Right,312,"6' 5""",Large,Skin 1,Face 15,No,Standard,Type 26,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Tharold,Simon,CB,27,Louisiana State,3/6/1991,Right,202,"6' 2""",Normal,Skin 2,Face 4,No,Revolution,Type 2,None,No,No,Type 2,Type 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Paul,Richardson,WR,10,Colorado,4/13/1992,Right,172,"6' 1""",Skinny,Skin 4,Face 3,No,Standard,Type 5,None,No,Yes,Team 2,Team 2,None,None,None,None,None,Style 3,Style 3,None,None,
Justin,Britt,T,68,Missouri,5/29/1991,Right,325,"6' 6""",Large,Skin 1,Face 6,No,Standard,Type 7,None,No,No,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 3,Style 3,None,None,
Cassius,Marsh,DE,91,UCLA,7/7/1992,Right,254,"6' 4""",Large,Skin 1,Face 7,No,Standard,Type 7,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,High Black,High Black,None,Style 3,Style 3,None,None,
Kevin,Norwood,WR,81,Alabama,9/23/1989,Right,197,"6' 2""",Normal,Skin 4,Face 2,No,Standard,Type 3,None,No,No,Team 2,Team 2,Taped Small,Taped Small,High White,High White,None,Style 6,Style 6,None,None,
Kevin,Pierre-Louis,OLB,58,Boston College,10/7/1991,Right,225,"6' 1""",Normal,Skin 5,Face 3,No,Standard,Type 19,Clear,No,Yes,Team 4,Team 4,Taped Large,Taped Large,None,None,None,Style 6,Style 6,None,None,
Doug,Baldwin,WR,89,Stanford,9/21/1988,Right,189,"5' 10""",Normal,Skin 2,Face 4,No,Standard,Type 5,None,No,No,Team 2,Team 2,None,None,None,None,None,Style 3,Style 3,None,None,
Kevin,Williams,DT,94,Oklahoma State,8/16/1980,Right,311,"6' 5""",Extra Large,Skin 11,Face 10,No,Standard,Type 10,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Ricardo,Lockette,WR,83,Fort Valley State (Ga.),5/21/1986,Right,211,"6' 2""",Normal,Skin 4,Face 3,No,Standard,Type 5,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None,
Mike,Morgan,OLB,57,USC,1/16/1988,Right,226,"6' 3""",Normal,Skin 4,Face 11,No,Standard,Type 10,None,Yes,No,Type 3,Type 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None,
O'Brien,Schofield,DE,93,Wisconsin,4/3/1987,Right,242,"6' 3""",Normal,Skin 4,Face 15,No,Standard,Type 10,None,Yes,No,Type 3,Type 3,Single Black,Single Black,None,None,None,Style 6,Style 6,None,White,
DeShawn,Shead,FS,35,None,6/28/1988,Right,220,"6' 2""",Normal,Skin 3,Face 6,No,Standard,Type 5,None,No,No,Type 3,Type 3,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None,
Bryan,Walters,WR,19,Cornell,11/4/1987,Left,190,"6 '0""",Skinny,Skin 1,Face 2,No,Standard,Type 3,None,No,No,Team 2,Team 2,None,None,None,None,None,Style 1,Style 1,None,None,
Cooper,Helfet,TE,84,Duke,6/2/1989,Right,239,"6' 3""",Normal,Skin 1,Face 6,No,Standard,Type 5,None,No,Yes,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 5,Style 5,None,None,
Gary,Gilliam,T,79,Penn State,11/26/1990,Right,306,"6' 5""",Large,Skin 2,Face 4,No,Standard,Type 10,None,No,No,Team 1,Team 1,Taped Small,Taped Small,High White,High White,None,Style 6,Style 6,None,None,
Brock,Coyle,ILB,52,Montana,10/12/1990,Right,243,"6' 1""",Normal,Skin 1,Face 2,No,Revolution,Type 7,None,Yes,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Marcus,Burley,CB,28,Delaware,7/16/1990,Right,185,"5' 10""",Normal,Skin 4,Face 5,No,Standard,Type 5,Clear,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 4,Style 4,None,None,
Andrew,McDonald,T,70,Indiana,9/6/1988,Right,310,"6' 6""",Large,Skin 2,Face 4,No,Standard,Type 6,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,White,
Steven,Terrell,CB,26,Texas A&M,9/21/1990,Right,197,"5' 10""",Normal,Skin 4,Face 6,No,Standard,Type 5,None,No,No,Type 2,Type 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Patrick,Lewis,C,61,Texas A&M,1/30/1991,Right,311,"6' 1""",Large,Skin 4,Face 14,No,Standard,Type 6,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Taped,Taped,None,None,
Antonio,Brown,WR,84,Central Michigan,7/10/1988,Right,186,"5' 10""",Normal,Skin 5,Face 6,No,Standard,Type 5,None,No,Yes,Team 3,Team 3,None,None,None,None,None,Style 1,Style 1,None,None,
Troy,Polamalu,SS,43,USC,4/19/1981,Right,207,"5' 10""",Normal,Skin 2,Face 2,Yes,Revolution,Type 7,None,Yes,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None,
Lawrence,Timmons,ILB,94,Florida State,5/14/1986,Right,234,"6' 1""",Normal,Skin 5,Face 15,No,Standard,Type 7,Clear,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None,
Ramon,Foster,G,73,Tennessee,1/7/1986,Right,325,"6' 6""",Large,Skin 3,Face 10,No,Standard,Type 6,None,Yes,No,Type 4,Type 4,Taped Small,Taped Small,Team,None,None,Style 1,Style 1,None,None,
Ben,Roethlisberger,QB,7,Miami (Ohio),3/2/1982,Right,241,"6' 5""",Normal,Skin 17,Face 7,No,Standard,Type 3,None,Yes,No,None,None,Quarterback,None,None,High White,None,Style 6,Style 6,None,None,
Jason,Worilds,OLB,93,Virginia Tech,3/3/1988,Right,262,"6' 2""",Normal,Skin 4,Face 13,No,Standard,Type 7,None,No,No,Type 2,Type 2,Double White,Double White,None,None,None,Style 1,Style 1,None,None,
Shaun,Suisham,K,6,Bowling Green,12/29/1981,Right,200,"6 '0""",Normal,Skin 1,Face 2,No,Standard,Type 1,None,No,No,None,None,None,None,None,None,None,Style 2,Style 2,None,None,
Cameron,Heyward,DE,97,Ohio State,5/6/1989,Right,288,"6' 5""",Large,Skin 3,Face 10,No,Standard,Type 6,None,No,No,Type 4,Type 4,Single Black,Single Black,None,None,None,Style 6,Style 6,None,None,
Steve,McLendon,DT,90,Troy State,1/3/1986,Right,320,"6' 4""",Large,Skin 5,Face 15,No,Revolution,Type 23,None,No,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Taped,Taped,None,White,
Cortez,Allen,CB,28,None,10/29/1988,Right,196,"6' 1""",Skinny,Skin 4,Face 9,No,Standard,Type 5,None,No,No,Team 3,Team 3,None,None,High White,High White,None,Style 1,Style 1,None,None,
Greg,Warren,C,60,North Carolina,10/18/1981,Right,252,"6' 3""",Normal,Skin 1,Face 13,No,Standard,Type 7,None,No,No,None,None,None,None,None,None,None,Style 3,Style 3,None,None,
David,DeCastro,G,66,Stanford,1/11/1990,Right,316,"6' 5""",Large,Skin 1,Face 15,No,Standard,Type 26,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Will,Johnson,FB,46,West Virginia,11/14/1988,Right,238,"6' 2""",Normal,Skin 4,Face 4,No,Revolution,Type 7,Clear,No,Yes,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,None,
Kelvin,Beachum,T,68,SMU,6/8/1989,Right,303,"6' 3""",Large,Skin 4,Face 6,No,Revolution,Type 6,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None,
Robert,Golden,FS,21,Arizona,9/13/1990,Right,202,"5' 11""",Normal,Skin 3,Face 5,No,Standard,Type 5,Clear,No,No,Team 2,Team 2,None,None,None,None,None,Style 6,Style 6,None,None,
Bruce,Gradkowski,QB,5,Toledo,1/27/1983,Right,220,"6' 1""",Normal,Skin 1,Face 7,No,Standard,Type 3,None,Yes,No,None,None,Single White,Single White,None,None,None,Style 1,Style 1,None,None,
Heath,Miller,TE,83,Virginia,10/22/1982,Right,256,"6' 5""",Normal,Skin 1,Face 5,No,Standard,Type 7,None,Yes,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None,
Mike,Adams,T,76,Ohio State,3/10/1990,Right,323,"6' 7""",Large,Skin 2,Face 14,No,Revolution,Type 24,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Marcus,Gilbert,T,77,Florida,2/15/1988,Right,330,"6' 6""",Large,Skin 4,Face 7,No,Standard,Type 6,Clear,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 4,Style 4,None,None,
Ike,Taylor,CB,24,Louisiana-Lafayette,5/5/1980,Right,195,"6' 2""",Normal,Skin 4,Face 7,No,Standard,Type 5,None,Yes,No,Team 3,Team 3,None,None,None,None,None,Style 1,Style 1,None,None,
William,Gay,CB,22,Louisville,1/1/1985,Right,190,"5' 11""",Skinny,Skin 13,Face 11,Yes,Standard,Type 5,None,No,No,Team 3,Team 3,None,None,None,None,None,Style 1,Style 1,None,None,
Landry,Jones,QB,3,Oklahoma,4/4/1989,Right,221,"6' 3""",Normal,Skin 1,Face 6,No,Standard,Type 2,None,No,No,None,None,Quarterback,None,None,None,None,Style 1,Style 1,None,None,
Le'Veon,Bell,RB,26,Michigan State,2/18/1992,Right,244,"6' 1""",Normal,Skin 3,Face 1,No,Standard,Type 3,Clear,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Markus,Wheaton,WR,11,Oregon State,2/7/1991,Right,182,"5' 11""",Normal,Skin 3,Face 6,Yes,Standard,Type 5,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Shamarko,Thomas,SS,29,Syracuse,2/23/1991,Right,217,"5' 9""",Normal,Skin 3,Face 2,Yes,Standard,Type 5,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None,
Vince,Williams,ILB,98,Florida State,12/27/1989,Right,250,"6' 1""",Large,Skin 3,Face 9,No,Standard,Type 7,None,No,No,Type 4,Type 4,Taped Large,Taped Large,None,None,None,Style 6,Style 6,None,None,
Antwon,Blake,CB,41,UTEP,8/8/1990,Right,198,"5' 9""",Normal,Skin 3,Face 5,No,Revolution,Type 5,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None,
Matt,Spaeth,TE,89,Minnesota,11/24/1983,Right,260,"6' 7""",Large,Skin 1,Face 12,No,Standard,Type 7,None,Yes,No,Team 3,Team 3,None,None,None,None,None,Style 1,Style 1,None,None,
Will,Allen,FS,20,Ohio State,6/17/1982,Right,203,"6' 1""",Normal,Skin 3,Face 1,No,Standard,Type 5,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,None,
Maurkice,Pouncey,C,53,Florida,7/24/1989,Right,304,"6' 4""",Large,Skin 2,Face 10,No,Revolution,Type 23,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Taped,Taped,None,None,
LeGarrette ,Blount,RB,27,Oregon,12/5/1986,Right,250,"6 '0""",Normal,Skin 5,Face 6,No,Standard,Type 7,Dark,Yes,No,Team 3,Team 3,None,None,None,None,None,Style 1,Style 1,None,White,
Michael,Palmer,TE,82,Clemson,1/18/1988,Right,252,"6' 5""",Normal,Skin 1,Face 10,No,Standard,Type 7,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Lance,Moore,WR,16,Toledo,8/31/1983,Right,190,"5' 9""",Normal,Skin 2,Face 5,No,Standard,Type 5,None,Yes,No,Type 2,Type 2,Double Black,Double Black,None,None,None,Style 6,Style 6,None,None,
Darrius,Heyward-Bey,WR,85,Maryland,2/26/1987,Right,219,"6' 2""",Normal,Skin 4,Face 5,No,Standard,Type 2,Clear,No,No,Type 2,Type 2,None,None,High Black,High Black,None,Style 6,Style 6,None,None,
Cody,Wallace,C,72,Texas A&M,11/26/1984,Right,300,"6' 4""",Large,Skin 1,Face 14,No,Revolution,Type 25,None,No,No,Type 2,Type 2,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Cam,Thomas,DE,96,North Carolina,12/12/1986,Right,330,"6' 4""",Extra Large,Skin 5,Face 11,Yes,Standard,Type 10,None,No,No,Type 2,Type 2,None,None,High Black,High Black,None,Style 3,Style 3,None,White,
Sean,Spence,ILB,51,"Miami, FL",6/7/1990,Right,231,"5' 11""",Normal,Skin 4,Face 14,No,Standard,Type 20,None,Yes,No,Team 1,Team 1,Taped Small,Taped Small,High Team,High Team,None,Style 3,Style 3,None,None,
Arthur,Moats,OLB,55,James Madison,3/14/1988,Right,250,"6' 2""",Normal,Skin 5,Face 9,No,Standard,Type 7,Clear,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Mike,Mitchell,FS,23,Ohio,6/10/1987,Right,210,"6 '0""",Normal,Skin 2,Face 7,No,Revolution,Type 5,None,No,No,Type 2,Type 2,Double Black,Double Black,None,None,None,Style 6,Style 6,None,None,
Justin,Brown,WR,15,Oklahoma,3/10/1991,Right,209,"6' 3""",Normal,Skin 3,Face 3,No,Standard,Type 2,Clear,No,No,Team 4,Team 4,None,None,None,None,None,Style 6,Style 6,None,White,
Ryan,Shazier,ILB,50,Ohio State,9/6/1992,Right,230,"6' 2""",Normal,Skin 3,Face 1,No,Revolution,Type 5,None,No,Yes,Team 3,Team 3,Double Black,Double Black,None,None,None,Style 3,Style 3,None,None,
Stephon,Tuitt,DE,91,Notre Dame,5/23/1993,Right,312,"6' 6""",Large,Skin 3,Face 3,No,Standard,Type 6,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Dri,Archer,RB,13,Kent State,8/9/1991,Right,179,"5' 8""",Normal,Skin 4,Face 1,No,Revolution,Type 5,Clear,No,Yes,Team 3,Team 3,Taped Small,Taped Small,High Team,High Team,None,Style 4,Style 4,None,None,
Martavis,Bryant,WR,10,Clemson,12/20/1991,Right,200,"6' 4""",Normal,Skin 4,Face 3,Yes,Standard,Type 5,None,No,Yes,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,None,
Wesley,Johnson,G,67,Vanderbilt,1/9/1991,Right,295,"6' 5""",Large,Skin 1,Face 3,No,Standard,Type 22,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Brett,Keisel,DE,99,BYU,9/19/1978,Right,285,"6' 5""",Large,Skin 1,Face 15,No,Revolution,Type 27,None,Yes,No,Team 3,Team 3,Taped Small,Taped Small,High Black,High Black,None,Style 1,Style 1,None,None,
Terence,Garvin,ILB,57,West Virginia,1/1/1991,Right,221,"6' 3""",Normal,Skin 4,Face 14,No,Revolution,Type 7,None,No,Yes,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Brice,McCain,CB,25,Utah,12/10/1986,Right,187,"5' 9""",Normal,Skin 4,Face 5,No,Standard,Type 5,Clear,No,No,Team 3,Team 3,Single Team,Single Team,None,None,None,Style 3,Style 3,None,None,
B.W.,Webb,CB,39,William & Mary,5/3/1990,Right,178,"5' 10""",Skinny,Skin 4,Face 6,Yes,Revolution,Type 5,Clear,No,No,Team 3,Team 3,None,None,None,None,None,Style 1,Style 1,None,None,
Chris,Hubbard,G,74,Alabama-Birmingham,4/23/1991,Right,286,"6' 4""",Large,Skin 4,Face 5,No,Standard,Type 6,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,None,
Daniel,McCullers,DT,62,Tennessee,8/11/1992,Right,352,"6' 7""",Extra Large,Skin 4,Face 5,No,Revolution,Type 7,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Brad,Wing,P,9,Louisiana State,1/27/1991,Left,205,"6' 3""",Skinny,Skin 1,Face 5,No,Standard,Type 2,None,No,No,None,None,Single White,Single White,None,None,None,Style 2,Style 2,None,None,
James,Harrison,OLB,92,Kent State,5/4/1978,Right,275,"6 '0""",Large,Skin 4,Face 13,No,Revolution,Type 23,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,None,
Andre,Johnson,WR,80,"Miami, FL",7/11/1981,Right,230,"6' 3""",Normal,Skin 5,Face 1,No,Standard,Type 5,None,Yes,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Kareem,Jackson,CB,25,Alabama,4/10/1988,Right,188,"5' 10""",Normal,Skin 4,Face 7,No,Standard,Type 5,Clear,Yes,No,Team 3,Team 3,Single White,Single White,None,None,None,Style 3,Style 3,None,None,
Chris,Myers,C,55,"Miami, FL",9/15/1981,Right,286,"6' 4""",Large,Skin 1,Face 3,No,Standard,Type 10,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Jon,Weeks,C,46,Baylor,2/17/1986,Right,246,"5' 10""",Normal,Skin 1,Face 5,No,Revolution,Type 7,None,No,No,None,None,None,None,None,None,None,Style 3,Style 3,None,None,
Duane,Brown,T,76,Virginia Tech,8/30/1985,Right,303,"6' 4""",Large,Skin 4,Face 2,No,Standard,Type 22,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Taped,Taped,None,None,
J.J.,Watt,DE,99,Wisconsin,3/22/1989,Right,289,"6' 5""",Large,Skin 1,Face 6,No,Standard,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Derek,Newton,T,75,Arkansas State,11/16/1987,Right,313,"6' 6""",Large,Skin 4,Face 9,Yes,Revolution,Type 23,None,Yes,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Brooks,Reed,OLB,58,Arizona,2/28/1987,Right,254,"6' 3""",Large,Skin 1,Face 6,No,Revolution,Type 15,None,No,No,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Keshawn,Martin,WR,82,Michigan State,3/15/1990,Right,194,"5' 11""",Normal,Skin 3,Face 9,Yes,Standard,Type 5,None,Yes,No,Type 1,Type 1,None,None,None,None,None,Style 3,Style 3,None,None,
DeVier,Posey,WR,11,Ohio State,3/15/1990,Right,210,"6' 1""",Normal,Skin 3,Face 6,No,Revolution,Type 5,Clear,No,No,Team 2,Team 2,Taped Small,Taped Small,High White,High White,None,Style 3,Style 3,None,None,
Ben,Jones,G,60,Georgia,7/2/1989,Right,308,"6' 3""",Large,Skin 1,Face 6,No,Standard,Type 23,None,No,No,None,None,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,None,
Brandon,Brooks,G,79,Miami (Ohio),8/19/1989,Right,335,"6' 5""",Large,Skin 2,Face 3,No,Standard,Type 26,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,None,
Whitney,Mercilus,OLB,59,Illinois,7/21/1990,Right,258,"6' 4""",Large,Skin 4,Face 2,No,Standard,Type 20,Clear,No,No,Team 1,Team 1,Taped Large,Taped Large,None,None,None,Style 3,Style 3,None,None,
Jared,Crick,DE,93,Nebraska,8/21/1989,Right,285,"6' 4""",Large,Skin 1,Face 2,No,Standard,Type 23,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 4,Style 4,None,None,
Eddie,Pleasant,SS,35,Oregon,12/17/1988,Right,210,"5' 10""",Normal,Skin 3,Face 3,No,Standard,Type 5,None,No,No,Type 2,Type 2,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,None,
Tim,Jamison,DE,96,Michigan,2/26/1986,Right,287,"6' 3""",Large,Skin 4,Face 10,No,Standard,Type 6,None,No,No,Team 1,Team 1,None,None,None,None,None,Style 3,Style 3,None,None,
Shane,Lechler,P,9,Texas A&M,8/7/1976,Right,237,"6' 2""",Normal,Skin 17,Face 3,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,White,Style 3,Style 3,None,None,
